bug_id,top1_hit,top3_hit,top5_hit,top1_file_hit,top3_file_hit,top5_file_hit,mrr,map,num_gt_methods,num_gt_files
Compress-31,0,0,0,0,1,1,0.0,0.0,1,1
Compress-32,1,1,1,1,1,1,1.0,1.0,1,1
Compress-33,1,1,1,1,1,1,1.0,1.0,1,1
Compress-34,0,0,0,1,1,1,0.0,0.0,1,1
Compress-35,1,1,1,1,1,1,1.0,1.0,1,1
Compress-36,1,1,1,1,1,1,1.0,1.0,1,1
Compress-37,1,1,1,1,1,1,1.0,1.0,1,1
Compress-38,0,0,0,1,1,1,0.0,0.0,1,1
Compress-39,0,0,0,0,0,0,0.0,0.0,1,1
Compress-40,1,1,1,1,1,1,1.0,1.0,1,1
Compress-41,1,1,1,1,1,1,1.0,1.0,1,1
Compress-42,1,1,1,1,1,1,1.0,1.0,1,1
Compress-43,0,0,0,1,1,1,0.0,0.0,4,1
Compress-44,0,0,0,1,1,1,0.0,0.0,1,1
Compress-45,0,0,0,1,1,1,0.0,0.0,1,1
Compress-46,0,1,1,1,1,1,0.5,0.5,1,1
Compress-47,0,1,1,1,1,1,0.3333333333333333,0.16666666666666666,2,1
Csv-1,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,1,1
Csv-2,1,1,1,1,1,1,1.0,1.0,1,1
Csv-3,1,1,1,1,1,1,1.0,1.0,1,1
Csv-4,0,0,1,1,1,1,0.25,0.25,1,1
Csv-5,0,0,0,0,1,1,0.0,0.0,1,1
Csv-6,0,0,0,1,1,1,0.0,0.0,1,1
Csv-7,0,0,1,1,1,1,0.25,0.25,1,1
Csv-8,0,0,0,1,1,1,0.0,0.0,2,1
Csv-9,0,1,1,1,1,1,0.5,0.5,1,1
Csv-10,0,0,0,1,1,1,0.0,0.0,1,1
Csv-11,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,1,1
Csv-12,0,0,0,0,0,0,0.0,0,0,0
Csv-13,0,0,0,0,0,0,0.0,0.0,1,1
Csv-14,0,0,0,1,1,1,0.0,0.0,1,1
Csv-15,0,0,0,1,1,1,0.0,0.0,1,1
Csv-16,1,1,1,1,1,1,1.0,0.5,2,1
Gson-1,0,0,0,0,1,1,0.0,0.0,1,1
Gson-2,0,0,0,1,1,1,0.0,0.0,1,1
Gson-3,0,0,0,0,1,1,0.0,0.0,1,1
Gson-4,1,1,1,1,1,1,1.0,0.1,10,2
Gson-5,0,0,0,1,1,1,0.0,0.0,1,1
Gson-6,0,0,0,1,1,1,0.0,0.0,1,1
Gson-7,0,0,0,1,1,1,0.0,0.0,2,1
Gson-8,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,1,1
Gson-9,0,0,0,0,0,0,0.0,0,0,0
Gson-10,0,0,0,0,1,1,0.0,0.0,1,1
Gson-11,0,0,0,0,0,0,0.0,0,0,0
Gson-12,1,1,1,1,1,1,1.0,1.0,1,1
Gson-13,0,0,0,1,1,1,0.0,0.0,1,1
Gson-14,0,0,0,0,0,0,0.0,0,0,0
Gson-15,1,1,1,1,1,1,1.0,1.0,1,1
Gson-16,0,0,0,0,0,0,0.0,0,0,0
Gson-17,1,1,1,1,1,1,1.0,1.0,1,1
Gson-18,0,0,0,0,0,0,0.0,0,0,0
JacksonCore-1,0,0,0,0,0,0,0.0,0.0,3,2
JacksonCore-2,1,1,1,1,1,1,1.0,0.16666666666666666,6,2
JacksonCore-3,0,0,0,1,1,1,0.0,0.0,1,1
JacksonCore-4,1,1,1,1,1,1,1.0,1.0,1,1
JacksonCore-5,0,1,1,1,1,1,0.5,0.5,1,1
JacksonCore-6,0,1,1,0,1,1,0.5,0.5,1,1
JacksonCore-7,0,0,0,0,0,0,0.0,0.0,1,1
JacksonCore-8,1,1,1,1,1,1,1.0,1.0,1,1
JacksonCore-9,0,0,1,1,1,1,0.25,0.10833333333333334,6,3
